antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'活动策划'}),frozenset({'内容策划'}),0.089,0.0922,0.0516,0.5797752808988764,6.288235150747033,1.0,0.0433942,2.1602727272727273,0.9231315787234404,0.3981481481481482,0.5370954845768633,0.5697141046576811
frozenset({'内容策划'}),frozenset({'活动策划'}),0.0922,0.089,0.0516,0.5596529284164858,6.288235150747032,1.0,0.0433942,2.068822660098522,0.9263856226228843,0.3981481481481482,0.5166332913463072,0.5697141046576811
frozenset({'活动策划'}),frozenset({'用户增长'}),0.089,0.0932,0.0506,0.5685393258426966,6.100207358827217,1.0,0.0423052,2.1016979166666667,0.9177509838035777,0.3844984802431611,0.5241942278812269,0.5557288903891595
frozenset({'用户增长'}),frozenset({'活动策划'}),0.0932,0.089,0.0506,0.5429184549356223,6.100207358827217,1.0,0.0423052,1.9930798122065727,0.922001705166585,0.3844984802431611,0.49826394614228575,0.5557288903891595
frozenset({'内容策划'}),frozenset({'用户增长'}),0.0922,0.0932,0.0522,0.5661605206073753,6.074683697504026,1.0,0.04360696,2.090174,0.9202273358437181,0.3918918918918919,0.5215709314152793,0.5631231787586233
frozenset({'用户增长'}),frozenset({'内容策划'}),0.0932,0.0922,0.0522,0.5600858369098712,6.074683697504026,1.0,0.04360696,2.063584390243902,0.9212421432277538,0.3918918918918919,0.51540629754337,0.5631231787586233
frozenset({'3D Max'}),frozenset({'Photoshop'}),0.0934,0.0996,0.0564,0.6038543897216274,6.06279507752638,1.0,0.04709736,2.272901621621622,0.921089316642494,0.4128843338213763,0.5600337513567608,0.5850597249812957
frozenset({'Photoshop'}),frozenset({'3D Max'}),0.0996,0.0934,0.0564,0.5662650602409639,6.06279507752638,1.0,0.04709736,2.0902166666666666,0.9274317797291038,0.4128843338213763,0.5215806973758702,0.5850597249812957
frozenset({'产品设计'}),frozenset({'原型设计'}),0.095,0.0958,0.054,0.5684210526315789,5.933413910559279,1.0,0.044899,2.0950975609756095,0.918743605483937,0.39473684210526316,0.5226952583848473,0.5660476870673552
frozenset({'原型设计'}),frozenset({'产品设计'}),0.0958,0.095,0.054,0.5636743215031316,5.933413910559279,1.0,0.044899,2.0741387559808615,0.9195564730844538,0.39473684210526316,0.517872178456499,0.5660476870673552
frozenset({'用户研究'}),frozenset({'Axure'}),0.0936,0.1002,0.0556,0.594017094017094,5.928314311547845,1.0,0.04622128,2.2163494736842106,0.9171645913630966,0.402315484804631,0.5488076172672749,0.5744536567889862
frozenset({'Axure'}),frozenset({'用户研究'}),0.1002,0.0936,0.0556,0.5548902195608783,5.928314311547845,1.0,0.04622128,2.0363515695067265,0.9238919600039017,0.402315484804631,0.5089256614749319,0.5744536567889862
frozenset({'C4D'}),frozenset({'Adobe XD'}),0.0916,0.0946,0.0512,0.5589519650655022,5.908583140227296,1.0,0.04253464,2.052837623762376,0.9145251953985027,0.37925925925925924,0.5128694113822644,0.5500890903551612
frozenset({'Adobe XD'}),frozenset({'C4D'}),0.0946,0.0916,0.0512,0.5412262156448203,5.908583140227296,1.0,0.04253464,1.9800608294930877,0.9175554313010824,0.37925925925925924,0.4949650106173715,0.5500890903551612
frozenset({'Photoshop'}),frozenset({'Illustrator'}),0.0996,0.0888,0.0522,0.5240963855421688,5.901986323673071,1.0,0.04335552,1.9146734177215192,0.9224406011121494,0.3832599118942731,0.4777177189883327,0.5559671116900033
frozenset({'Illustrator'}),frozenset({'Photoshop'}),0.0888,0.0996,0.0522,0.5878378378378378,5.9019863236730705,1.0,0.04335552,2.184577049180328,0.9115073718627955,0.3832599118942731,0.5422454884916013,0.5559671116900033
frozenset({'PRD文档'}),frozenset({'Axure'}),0.0976,0.1002,0.0576,0.5901639344262295,5.889859625012271,1.0,0.04782048,2.195512,0.9200096040189126,0.41084165477888734,0.5445253772240826,0.5825071169137135
frozenset({'Axure'}),frozenset({'PRD文档'}),0.1002,0.0976,0.0576,0.5748502994011976,5.88985962501227,1.0,0.04782048,2.122546478873239,0.9226680002963621,0.41084165477888734,0.5288677963222491,0.5825071169137135
