support,itemsets
0.4666666666666667,frozenset({'java'})
0.4,frozenset({'spring'})
0.4,frozenset({'python'})
0.4,"frozenset({'java', 'spring'})"
0.26666666666666666,frozenset({'mysql'})
0.26666666666666666,"frozenset({'mysql', 'java'})"
0.26666666666666666,frozenset({'微服务'})
0.26666666666666666,"frozenset({'微服务', 'java'})"
0.23333333333333334,"frozenset({'java', 'redis'})"
0.23333333333333334,frozenset({'redis'})
0.23333333333333334,"frozenset({'mysql', 'spring'})"
0.23333333333333334,"frozenset({'微服务', 'spring'})"
0.23333333333333334,"frozenset({'mysql', 'java', 'spring'})"
0.23333333333333334,"frozenset({'微服务', 'java', 'spring'})"
0.2,"frozenset({'机器学习', 'python'})"
0.2,"frozenset({'docker', 'spring'})"
0.2,frozenset({'机器学习'})
0.2,frozenset({'kafka'})
0.2,"frozenset({'docker', 'java'})"
0.2,frozenset({'docker'})
0.2,"frozenset({'docker', 'java', 'spring'})"
0.16666666666666666,"frozenset({'分布式', 'java'})"
0.16666666666666666,"frozenset({'sql', 'python'})"
0.16666666666666666,"frozenset({'redis', 'spring'})"
0.16666666666666666,frozenset({'数据分析'})
0.16666666666666666,frozenset({'分布式'})
0.16666666666666666,frozenset({'sql'})
0.16666666666666666,"frozenset({'java', 'kafka'})"
0.16666666666666666,"frozenset({'redis', 'kafka'})"
0.16666666666666666,"frozenset({'数据分析', 'python'})"
0.16666666666666666,"frozenset({'java', '分布式', 'redis'})"
0.16666666666666666,"frozenset({'java', '分布式', 'kafka'})"
0.16666666666666666,"frozenset({'微服务', 'redis'})"
0.16666666666666666,"frozenset({'redis', '分布式', 'kafka', 'java'})"
0.16666666666666666,"frozenset({'redis', '分布式', 'kafka'})"
0.16666666666666666,"frozenset({'redis', 'java', 'kafka'})"
0.16666666666666666,"frozenset({'java', 'redis', 'spring'})"
0.16666666666666666,"frozenset({'java', 'redis', '微服务'})"
0.16666666666666666,"frozenset({'分布式', 'kafka'})"
0.16666666666666666,"frozenset({'分布式', 'redis'})"
0.13333333333333333,frozenset({'hadoop'})
0.13333333333333333,frozenset({'javascript'})
0.13333333333333333,frozenset({'linux'})
0.13333333333333333,"frozenset({'spark', 'python'})"
0.13333333333333333,"frozenset({'linux', 'spring'})"
0.13333333333333333,"frozenset({'前端', 'javascript'})"
0.13333333333333333,"frozenset({'numpy', 'python'})"
0.13333333333333333,"frozenset({'linux', 'mysql'})"
