item,count,support
Figma,954,0.1908
数据分析,913,0.1826
BD,578,0.1156
品牌推广,568,0.1136
公关,566,0.1132
渠道拓展,562,0.1124
营销策划,561,0.1122
市场调研,553,0.1106
媒介投放,549,0.1098
薪酬管理,505,0.101
Axure,501,0.1002
Photoshop,498,0.0996
培训,489,0.0978
需求分析,489,0.0978
PRD文档,488,0.0976
Excel,488,0.0976
组织管理,482,0.0964
Sketch,482,0.0964
招聘,480,0.096
沟通协调,480,0.096
原型设计,479,0.0958
绩效考核,477,0.0954
PPT,475,0.095
产品设计,475,0.095
Adobe XD,473,0.0946
用户研究,468,0.0936
3D Max,467,0.0934
用户增长,466,0.0932
内容策划,461,0.0922
C4D,458,0.0916
After Effects,456,0.0912
活动策划,445,0.089
Illustrator,444,0.0888
新媒体,437,0.0874
SEM,432,0.0864
SEO,429,0.0858
社群运营,429,0.0858
深度学习,128,0.0256
Git,127,0.0254
NumPy,125,0.025
Python,124,0.0248
Redis,122,0.0244
Jenkins,121,0.0242
Vue,121,0.0242
Hadoop,121,0.0242
分布式系统,118,0.0236
微服务,118,0.0236
Scikit-learn,117,0.0234
Spring Boot,117,0.0234
PyTorch,116,0.0232
JavaScript,115,0.023
Docker,115,0.023
TypeScript,114,0.0228
TensorFlow,114,0.0228
Pandas,113,0.0226
React,113,0.0226
算法,111,0.0222
数据结构,109,0.0218
Spark,108,0.0216
高并发,106,0.0212
Django,104,0.0208
Linux,104,0.0208
机器学习,103,0.0206
MongoDB,101,0.0202
Java,101,0.0202
大数据,100,0.02
Kubernetes,99,0.0198
MySQL,97,0.0194
